,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,zomba,-15.386,35.3188,301.15,61,20,2.57,MW,1615446404
275,vao,-22.6667,167.4833,298.5,71,48,7.66,NC,1615446404
276,port macquarie,-31.4333,152.9167,296.15,73,75,5.14,AU,1615446404
277,rameswaram,9.2833,79.3,301.13,74,0,5.69,IN,1615446405
278,andenes,69.3143,16.1194,270.15,63,0,10.29,NO,1615446405
279,clyde river,70.4692,-68.5914,251.15,77,90,5.14,CA,1615446405
280,lukh,57.0124,42.2584,258.4,93,2,4.8,RU,1615446405
281,dingle,10.9995,122.6711,297.62,90,100,4.72,PH,1615446406
282,brumado,-14.2036,-41.6653,292.98,63,1,0.78,BR,1615446406
283,erenhot,43.6475,111.9767,279.46,61,6,4.12,CN,1615446406
284,lasa,46.6166,10.7002,275.93,80,0,1.09,IT,1615446407
285,elizabeth city,36.2946,-76.2511,285.37,50,1,3.6,US,1615446407
286,buta,2.7858,24.73,299.07,76,9,0.91,CD,1615446407
287,koslan,63.4564,48.8989,262.08,92,91,4.79,RU,1615446408
288,yabelo,4.8833,38.0833,296.15,36,0,7.88,ET,1615446408
289,agadez,19.75,10.25,299.34,13,0,3.36,NE,1615446408
290,mmabatho,-25.85,25.6333,297.15,35,0,4.12,ZA,1615446409
291,pisco,-13.7,-76.2167,295.37,83,0,1.54,PE,1615446409
292,polunochnoye,60.8697,60.4153,253.04,87,4,1.99,RU,1615446409
293,tutoia,-2.7619,-42.2744,298.25,90,97,3.12,BR,1615446410
294,ankang,32.68,109.0172,290.96,43,100,1.1,CN,1615446410
295,saint-pierre,-21.3393,55.4781,302.15,61,0,10.8,RE,1615446410
296,davila,18.4726,120.5763,305.15,51,20,4.63,PH,1615446411
297,havelock,34.8791,-76.9013,282.04,87,1,2.53,US,1615446411
298,quatre cocos,-20.2078,57.7625,303.15,58,40,5.66,MU,1615446411
299,cockburn town,21.4612,-71.1419,295.15,88,75,9.26,TC,1615446412
300,natal,-5.795,-35.2094,300.15,83,40,4.12,BR,1615446412
301,northam,51.0333,-4.2167,282.04,84,100,9.39,GB,1615446322
302,sorland,67.667,12.6934,274.15,69,75,12.35,NO,1615446413
303,pangoa,-12.1167,-73.0,291.99,82,100,1.1,PE,1615446413
304,umm kaddadah,13.6017,26.6876,303.57,11,8,8.77,SD,1615446413
305,biloela,-24.4167,150.5,300.65,59,98,3.58,AU,1615446414
306,kruisfontein,-34.0033,24.7314,291.48,91,100,0.89,ZA,1615446414
307,puerto leguizamo,-0.1934,-74.7819,294.9,98,100,0.49,CO,1615446414
308,atar,20.5169,-13.0499,288.04,35,6,4.55,MR,1615446414
309,koindu,8.4386,-10.3253,295.11,98,42,1.36,GN,1615446415
310,tanabe,33.7333,135.3667,288.15,51,40,2.06,JP,1615446415
311,voh,-20.9667,164.7,297.53,79,67,2.35,NC,1615446415
312,mancio lima,-7.6142,-72.8958,293.64,94,79,0.38,BR,1615446416
313,aracati,-4.5617,-37.7697,298.57,82,100,3.54,BR,1615446416
314,luderitz,-26.6481,15.1594,294.66,62,0,3.37,NA,1615446416
315,ambilobe,-13.2,49.05,304.0,69,0,0.25,MG,1615446417
316,batagay,67.6333,134.6333,257.05,89,99,1.42,RU,1615446417
317,nacogdoches,31.6002,-94.6335,293.71,83,90,5.66,US,1615446417
318,bijie,27.3125,105.2942,287.55,62,99,2.29,CN,1615446418
319,tecoanapa,16.5167,-98.75,295.92,82,0,1.82,MX,1615446418
320,maneadero,31.7167,-116.5667,282.04,88,5,1.79,MX,1615446418
321,mandiana,10.6333,-8.6833,295.4,26,0,0.71,GN,1615446419
322,geraldton,-28.7667,114.6,302.15,58,99,9.26,AU,1615446419
323,petukhovo,55.0692,67.9019,261.81,94,100,7.3,RU,1615446419
324,svetlogorsk,52.6333,29.7333,267.72,93,0,3.67,BY,1615446420
325,anshun,26.25,105.9333,289.97,67,70,2.81,CN,1615446420
326,nata,8.3333,-80.5167,296.48,49,72,1.34,PA,1615446420
327,burnie,-41.0667,145.9167,293.15,66,0,3.58,AU,1615446421
328,severodvinsk,64.5635,39.8302,260.15,61,0,3.0,RU,1615446421
329,ikom,5.9667,8.7063,299.54,82,100,0.9,NG,1615446421
330,sept-iles,50.2001,-66.3821,273.15,80,90,1.03,CA,1615446268
331,klaksvik,62.2266,-6.589,277.15,93,75,3.09,FO,1615446422
332,ocampo,21.65,-101.5,286.06,38,0,3.77,MX,1615446422
333,port shepstone,-30.7414,30.455,298.68,71,0,9.09,ZA,1615446422
334,luwuk,-0.9516,122.7875,301.45,73,86,0.67,ID,1615446423
335,watertown,42.3709,-71.1828,276.48,80,1,1.54,US,1615446423
336,margate,51.3813,1.3862,283.71,62,0,5.36,GB,1615446423
337,inhuma,-6.6683,-41.7078,293.68,85,63,1.12,BR,1615446424
338,narrabri,-30.3167,149.7833,301.15,47,90,6.17,AU,1615446424
339,charters towers,-20.1,146.2667,303.38,46,62,5.16,AU,1615446424
340,nome,64.5011,-165.4064,244.15,69,40,1.15,US,1615446425
341,synya,65.3718,58.0387,253.34,91,100,3.28,RU,1615446425
342,sawakin,19.1059,37.3321,299.85,70,18,4.49,SD,1615446425
343,wote,-1.7808,37.6288,299.77,47,0,1.98,KE,1615446425
344,colorado springs,38.8339,-104.8214,273.15,51,1,2.57,US,1615446411
345,terney,45.0503,136.6092,277.34,70,0,1.64,RU,1615446426
346,plotnikovo,55.0247,85.9436,268.15,63,20,8.0,RU,1615446426
347,clarence town,-32.5833,151.7833,299.26,64,75,5.14,AU,1615446426
348,itoman,26.1247,127.6694,297.15,60,40,4.63,JP,1615446427
349,ekuvukeni,-28.4675,30.1551,298.8,26,0,1.38,ZA,1615446427
350,ranot,7.7777,100.3213,302.07,67,24,5.32,TH,1615446427
351,taltal,-25.4,-70.4833,291.09,79,5,1.2,CL,1615446428
352,yar-sale,66.8333,70.8333,242.9,85,0,4.28,RU,1615446428
353,parabel,58.6978,81.4825,265.46,96,100,3.07,RU,1615446428
354,flinders,-34.5833,150.8552,297.04,73,100,1.79,AU,1615446429
355,coswig,51.1333,13.5833,276.48,81,90,7.2,DE,1615446288
356,katsuura,35.1333,140.3,288.15,44,20,5.66,JP,1615446429
357,nerchinsk,51.9833,116.5833,272.07,94,3,2.16,RU,1615446430
358,itarema,-2.9248,-39.9167,297.96,88,52,4.62,BR,1615446430
359,nesbyen,60.5681,9.1027,268.15,94,100,3.58,NO,1615446430
360,san vicente,-26.6167,-54.1333,285.95,92,0,1.33,AR,1615446431
361,santa maria do suacui,-18.1903,-42.4142,292.38,94,58,0.61,BR,1615446431
362,druzhba,52.0428,33.9453,259.28,94,10,4.01,UA,1615446431
363,cervo,43.6702,-7.4101,283.71,94,100,5.36,ES,1615446432
364,agadir,30.4202,-9.5982,281.15,93,0,0.92,MA,1615446432
365,agvali,42.5385,46.1197,274.59,78,100,0.23,RU,1615446432
366,iralaya,15.0,-83.2333,297.87,85,0,4.75,HN,1615446433
