,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,vaitape,-16.5167,-151.75,301.16,75,0,5.28,PF,1615446433
368,lagoa,39.05,-27.9833,286.38,75,100,7.14,PT,1615446433
369,shancheng,34.7953,116.0817,281.66,82,100,2.54,CN,1615446434
370,diapaga,12.0708,1.7889,301.65,42,0,3.17,BF,1615446434
371,rio grande,-32.035,-52.0986,288.15,98,14,1.95,BR,1615446434
372,kahului,20.8947,-156.47,295.15,94,20,1.24,US,1615446435
373,asau,46.4333,26.4,270.93,86,20,0.51,RO,1615446435
374,saint-paul,-21.0096,55.2707,302.15,65,20,9.77,RE,1615446435
375,codrington,-38.2667,141.9667,290.89,77,70,5.18,AU,1615446435
376,calamar,10.2511,-74.9146,299.15,83,75,4.63,CO,1615446436
377,sarai naurang,32.8259,70.7814,297.77,37,100,5.68,PK,1615446436
378,urucara,-2.5364,-57.76,295.84,99,100,0.59,BR,1615446436
379,chuy,-33.6971,-53.4616,289.16,88,0,1.25,UY,1615446437
380,kenai,60.5544,-151.2583,270.15,80,90,3.09,US,1615446437
381,amroha,28.9167,78.4667,308.62,11,0,1.08,IN,1615446437
382,cayenne,4.9333,-52.3333,299.26,94,75,0.51,GF,1615446438
383,akyab,20.15,92.9,302.91,43,0,6.45,MM,1615446438
384,amuntai,-2.4177,115.2494,305.28,53,77,1.62,ID,1615446394
385,nyimba,-14.5566,30.8149,297.17,84,13,1.28,ZM,1615446439
386,vagur,61.4732,-6.8119,277.89,85,100,8.83,FO,1615446439
387,amurzet,47.6967,131.0981,275.49,81,0,2.55,RU,1615446439
388,hirara,24.8,125.2833,298.15,61,20,6.17,JP,1615446439
389,bodden town,19.2833,-81.25,298.15,1,24,14.75,KY,1615446440
390,narsaq,60.9167,-46.05,268.15,63,75,1.54,GL,1615446440
391,chimbote,-9.0853,-78.5783,296.94,76,100,1.64,PE,1615446441
392,hit,33.6416,42.8251,299.94,17,100,7.47,IQ,1615446441
393,fortuna foothills,32.6578,-114.4119,285.93,50,1,2.57,US,1615446441
394,san juan de betulia,9.2735,-75.241,297.66,71,100,3.03,CO,1615446441
395,roma,43.2128,-75.4557,280.93,61,1,3.09,US,1615446442
396,phitsanulok,16.9167,100.5,307.15,52,2,2.06,TH,1615446442
397,launceston,-41.45,147.1667,297.15,41,0,5.14,AU,1615446442
398,avera,33.194,-82.5271,285.15,82,1,2.63,US,1615446443
399,asyut,27.181,31.1837,291.15,29,0,2.57,EG,1615446223
400,hasaki,35.7333,140.8333,288.15,47,20,4.63,JP,1615446443
401,manono,-7.3,27.4167,298.11,76,93,1.18,CD,1615446443
402,tiznit,29.5833,-9.5,284.65,48,0,2.75,MA,1615446444
403,honolulu,21.3069,-157.8583,295.15,100,75,6.17,US,1615446313
404,chimbarongo,-34.7,-71.05,290.15,94,90,3.6,CL,1615446444
405,duma,34.7653,108.135,287.15,62,0,2.0,CN,1615446445
406,enterprise,36.0252,-115.2419,281.48,42,75,8.23,US,1615446445
407,alyangula,-13.8483,136.4192,299.15,94,75,0.51,AU,1615446445
408,hammerfest,70.6634,23.6821,263.15,57,0,5.4,NO,1615446446
409,fortuna,40.5982,-124.1573,277.59,100,90,3.6,US,1615446446
410,lafia,8.4833,8.5167,300.19,68,100,2.64,NG,1615446263
411,santa vitoria do palmar,-33.5189,-53.3681,289.52,89,0,1.27,BR,1615446446
412,abha,18.2164,42.5053,295.15,20,0,5.14,SA,1615446336
413,souillac,-20.5167,57.5167,302.15,58,40,5.66,MU,1615446447
414,hualmay,-11.0964,-77.6139,295.67,71,87,2.87,PE,1615446338
415,ahipara,-35.1667,173.1667,291.06,83,53,3.92,NZ,1615446447
416,baghdad,33.3406,44.4009,292.15,45,75,9.26,IQ,1615446167
417,swedru,5.5371,-0.6998,299.15,73,97,2.06,GH,1615446448
418,wagar,16.1525,36.2032,303.82,40,0,5.16,SD,1615446448
419,vicuna,-30.0319,-70.7081,288.15,100,0,1.03,CL,1615446238
420,tepalcatepec,19.1833,-102.85,293.91,56,0,0.42,MX,1615446448
421,udachnyy,66.4167,112.4,253.53,83,0,6.81,RU,1615446449
422,shamary,57.3434,58.2199,253.7,89,83,3.0,RU,1615446449
423,matagami,49.7502,-77.6328,266.15,100,90,4.63,CA,1615446449
424,karasburg,-28.0167,18.75,291.79,55,0,1.98,NA,1615446450
425,mailsi,29.8003,72.1758,308.42,10,0,6.27,PK,1615446450
426,poum,-20.2333,164.0167,299.29,72,83,5.3,NC,1615446450
427,dalvik,65.9702,-18.5286,273.15,80,90,8.75,IS,1615446451
428,anajatuba,-3.2644,-44.6197,295.83,97,96,0.66,BR,1615446451
429,yagodnoye,62.55,149.6667,253.12,85,99,1.39,RU,1615446451
430,ulaangom,49.9811,92.0667,264.99,94,100,1.62,MN,1615446452
431,faya,18.3851,42.4509,295.15,20,0,5.14,SA,1615446452
432,evensk,61.95,159.2333,249.91,88,90,2.29,RU,1615446452
433,kieta,-6.2167,155.6333,300.71,77,100,1.95,PG,1615446453
434,urumqi,43.801,87.6005,275.15,75,75,2.0,CN,1615446173
435,churapcha,62.0025,132.4325,260.54,92,100,4.64,RU,1615446453
436,santa maria,-29.6842,-53.8069,288.38,94,0,1.4,BR,1615446322
437,los alamos,35.8881,-106.307,276.15,23,1,1.54,US,1615446454
438,longyearbyen,78.2186,15.6401,268.15,93,90,2.06,SJ,1615446454
439,verkhoyansk,67.5447,133.385,257.34,87,100,1.42,RU,1615446454
440,touros,-5.1989,-35.4608,297.15,94,40,2.06,BR,1615446455
441,yulara,-25.2406,130.9889,307.15,36,23,5.66,AU,1615446455
442,kashi,39.4547,75.9797,287.15,18,20,4.0,CN,1615446455
443,aykhal,66.0,111.5,252.9,84,0,9.36,RU,1615446455
444,rockport,28.0206,-97.0544,294.15,94,90,6.17,US,1615446456
445,yeppoon,-23.1333,150.7333,303.15,54,86,4.63,AU,1615446456
446,jumla,29.2747,82.1838,289.65,27,0,2.92,NP,1615446456
447,vestmannaeyjar,63.4427,-20.2734,273.54,87,37,15.12,IS,1615446457
448,dasoguz,41.8363,59.9666,281.15,46,0,3.09,TM,1615446457
449,copiapo,-27.3667,-70.3333,290.15,77,100,3.09,CL,1615446341
450,adiake,5.2863,-3.304,299.15,83,20,1.03,CI,1615446457
451,tilichiki,60.4667,166.1,255.0,93,3,3.09,RU,1615446458
452,nadvoitsy,63.8667,34.3167,257.99,86,0,3.06,RU,1615446458
453,manokwari,-0.8667,134.0833,301.11,77,47,4.14,ID,1615446330
454,saravena,6.9538,-71.8752,296.54,63,91,1.4,CO,1615446459
455,skelleftea,64.7507,20.9528,264.82,86,90,4.63,SE,1615446459
456,buritis,-15.6178,-46.4233,294.36,86,98,0.75,BR,1615446459
457,macau,22.2006,113.5461,297.15,78,20,3.09,MO,1615446460
458,labuan,5.2767,115.2417,303.15,74,20,2.57,MY,1615446460
459,ongandjera,-17.8833,15.0667,299.34,42,0,2.65,NA,1615446460
460,husavik,66.0449,-17.3389,273.15,80,90,8.75,IS,1615446461
461,jawhar,2.7809,45.5005,306.01,39,88,6.22,SO,1615446461
462,portland,45.5234,-122.6762,279.82,77,33,0.45,US,1615445998
463,salym,60.0625,71.4789,253.89,91,100,3.83,RU,1615446461
464,belmonte,-15.8631,-38.8828,296.15,83,0,2.06,BR,1615446462
465,carbonear,47.7332,-53.2148,270.37,93,20,10.29,CA,1615446462
466,maceo,6.552,-74.7874,291.15,96,100,1.35,CO,1615446463
467,uarini,-2.99,-65.1083,294.25,99,100,0.62,BR,1615446463
468,selishche,56.8879,33.2691,258.85,87,0,3.11,RU,1615446463
469,zhigansk,66.7697,123.3711,254.52,90,100,5.42,RU,1615446463
470,brzesko,49.9691,20.6061,272.04,70,100,0.45,PL,1615446464
471,shihezi,44.3,86.0333,273.94,97,100,0.78,CN,1615446464
472,makurdi,7.7411,8.5121,301.12,69,97,3.03,NG,1615446464
473,kautokeino,69.0125,23.0412,260.78,92,100,12.95,NO,1615446465
474,hami,42.8,93.45,291.32,24,100,1.96,CN,1615446465
475,dicabisagan,17.0818,122.4157,298.73,79,49,2.68,PH,1615446465
476,tena,-0.9833,-77.8167,294.19,80,100,0.67,EC,1615446466
477,itaituba,-4.2761,-55.9836,295.29,98,100,0.87,BR,1615446466
478,sao joao da barra,-21.6403,-41.0511,296.02,90,96,3.7,BR,1615446241
479,tornio,65.8481,24.1466,257.15,66,0,5.14,FI,1615446466
480,bima,-8.4667,118.7167,301.72,78,97,0.93,ID,1615446467
481,palauig,15.435,119.9045,302.52,61,92,4.43,PH,1615446467
482,bandundu,-3.3167,17.3667,299.07,80,73,1.34,CD,1615446467
483,tautira,-17.7333,-149.15,301.15,78,40,2.57,PF,1615446468
484,saint-augustin,51.226,-58.6502,271.96,95,100,9.66,CA,1615446468
485,ayagoz,47.9714,80.4392,271.31,97,100,0.54,KZ,1615446468
486,farmington,36.7281,-108.2187,276.15,28,1,3.6,US,1615446352
487,tuensang,26.2833,94.8333,297.93,31,71,1.38,IN,1615446469
488,bath,51.3779,-2.3591,281.48,84,100,2.68,GB,1615446351
489,kloulklubed,7.0419,134.2556,301.15,78,75,2.06,PW,1615446469
490,richmond,37.5538,-77.4603,287.04,46,40,2.57,US,1615445820
491,salinas,36.6777,-121.6555,281.15,81,75,1.73,US,1615446470
492,bafq,31.6128,55.4107,292.16,25,0,2.76,IR,1615446470
493,wasilla,61.5814,-149.4394,269.15,86,90,3.6,US,1615446288
494,pirovskoye,57.6267,92.2658,274.71,86,97,8.66,RU,1615446470
495,pyapon,16.2833,95.6833,310.83,18,0,3.21,MM,1615446471
496,idaho falls,43.4666,-112.0341,269.15,86,1,3.09,US,1615446471
497,camacha,33.0833,-16.3333,288.15,77,75,4.12,PT,1615446471
498,awbari,26.5921,12.7805,293.61,33,100,8.31,LY,1615446472
499,nago,26.5881,127.9761,297.15,64,20,3.6,JP,1615446472
500,maldonado,-34.6667,-54.9167,291.15,88,0,3.09,UY,1615446446
501,ketchikan,55.3422,-131.6461,276.15,80,90,2.29,US,1615446473
502,colares,38.7992,-9.4469,285.93,90,100,2.33,PT,1615446473
503,pangai,-19.8,-174.35,299.15,61,20,3.6,TO,1615446473
504,albion,42.2431,-84.753,289.26,67,90,4.12,US,1615446473
505,mbandaka,0.0487,18.2603,298.32,81,14,1.28,CD,1615446474
506,santa fe,-31.6333,-60.7,296.48,72,52,3.13,AR,1615446474
507,presidencia roque saenz pena,-26.7852,-60.4388,293.15,64,0,1.34,AR,1615446474
508,praia da vitoria,38.7333,-27.0667,286.48,100,90,6.4,PT,1615446475
509,verkhniye kigi,55.4083,58.6044,254.27,90,100,4.72,RU,1615446475
510,miles city,46.4083,-105.8406,270.15,80,1,1.54,US,1615446475
511,puerto lopez,4.0845,-72.956,298.48,57,93,1.03,CO,1615446476
512,aksu,41.1231,80.2644,288.79,30,100,3.1,CN,1615446476
513,bajna,27.9,77.6833,309.76,9,0,0.05,IN,1615446476
514,nioro,13.35,-15.75,293.7,23,89,3.08,GM,1615446477
515,turayf,31.6725,38.6637,293.15,30,0,5.14,SA,1615446477
516,belgrade,44.804,20.4651,275.93,74,0,2.57,RS,1615446425
517,sioux lookout,50.1001,-91.917,267.15,68,90,2.06,CA,1615446477
518,gamba,-2.65,10.0,300.28,82,100,1.81,GA,1615446478
519,dwarka,22.2394,68.9678,300.05,47,0,3.65,IN,1615446478
520,mineiros,-17.5694,-52.5511,291.98,93,100,1.5,BR,1615446478
521,alihe,50.5667,123.7167,275.71,74,0,3.91,CN,1615446470
522,shagonar,51.5333,92.8,269.29,93,99,0.85,RU,1615446481
523,douglas,41.3,-96.167,274.82,80,40,3.6,US,1615446481
524,viedma,-40.8135,-62.9967,289.79,37,1,5.29,AR,1615446481
525,kokopo,-4.352,152.2633,300.45,80,100,2.95,PG,1615446482
526,staryy nadym,65.6118,72.6842,244.43,84,53,2.43,RU,1615446482
527,charyshskoye,51.3978,83.5598,271.61,93,100,3.99,RU,1615446482
528,havre-saint-pierre,50.2334,-63.5986,274.15,75,90,5.66,CA,1615446483
529,harper,4.375,-7.7169,299.38,87,100,2.66,LR,1615446483
530,karpathos,35.507,27.2132,290.15,72,40,8.23,GR,1615446483
531,ascension,30.2169,-90.9001,292.15,82,1,2.06,US,1615446483
532,grindavik,63.8424,-22.4338,270.15,68,75,17.49,IS,1615446484
533,yarensk,62.1675,49.0916,264.35,91,100,4.81,RU,1615446484
534,sisimiut,66.9395,-53.6735,264.57,93,100,2.23,GL,1615446485
535,goderich,43.7501,-81.7165,289.15,44,100,10.8,CA,1615446485
536,george town,5.4112,100.3354,306.15,58,20,4.63,MY,1615446423
537,pacific grove,36.6177,-121.9166,281.48,71,75,3.09,US,1615446201
538,aztec,36.8222,-107.9929,276.15,28,1,3.6,US,1615446485
539,burewala,30.1667,72.65,308.53,10,0,5.73,PK,1615446486
540,nemuro,43.3236,145.575,276.15,52,40,4.12,JP,1615446486
541,ures,29.4333,-110.4,285.37,22,29,0.45,MX,1615446486
542,nishihara,26.1842,127.7558,297.15,56,40,5.66,JP,1615446487
543,olinda,-8.0089,-34.8553,298.15,83,75,2.06,BR,1615446487
544,nur,52.6683,22.3221,271.48,50,88,1.79,PL,1615446487
545,north bend,43.4065,-124.2243,280.15,81,75,2.06,US,1615446377
546,sterling,39.0062,-77.4286,286.48,35,75,4.12,US,1615446312
547,broome,42.2506,-75.833,280.15,65,1,3.6,US,1615446488
548,loandjili,-4.7561,11.8578,301.15,83,40,1.54,CG,1615446488
549,roebourne,-20.7833,117.1333,308.77,41,8,6.75,AU,1615446489
550,namatanai,-3.6667,152.4333,301.56,69,97,2.35,PG,1615446489
551,benguela,-12.5763,13.4055,299.66,80,90,1.07,AO,1615446489
552,mandera,3.9366,41.867,303.9,40,0,4.64,KE,1615446489
553,samarai,-10.6167,150.6667,302.34,72,93,4.69,PG,1615446490
554,betare oya,5.6,14.0833,295.01,83,100,0.74,CM,1615446490
555,jieshi,22.8134,115.8257,298.71,67,4,6.14,CN,1615446490
556,la cruz,23.9167,-106.9,288.15,95,94,1.49,MX,1615446491
557,rodrigues alves,-7.738,-72.6509,293.18,97,97,0.3,BR,1615446491
558,alofi,-19.0595,-169.9187,298.15,73,68,1.03,NU,1615446491
